Note Names from C	Number Of Notes In Scale	Ascending Note Positions in Scale	Binary 12notes 1&0	Pitch Set binary	Name Of Scale	Alternative Scale Names	Flatmost Note	PitchSet Notation 12 edo	PositionOfTonic	Sharpmost Note	Composer	Reference Url	WorkExample
C Db D Eb A .	5	1 2b 2 3b 6 .	111100000100	3844	Theoretical - No Known Name		Db	0 1 2 3 9	6	A			
C D G# B .	4	1 2 5# 7 .	101000001001	2569	Theoretical - No Known Name		C	0 2 8 11	1	G#			
C F# A Bb .	4	1 4# 6 7b .	100000100110	2086	Theoretical - No Known Name		Bb	0 6 9 10	3	F#			
C D F# G# B .	5	1 2 4# 5# 7 .	101000101001	2601	Theoretical - No Known Name		C	0 2 6 8 11	1	G#			
C E F# A Bb .	5	1 3 4# 6 7b .	100010100110	2214	Theoretical - No Known Name		Bb	0 4 6 9 10	3	F#			
C D F Gb Ab .	5	1 2 4 5b 6b .	101001101000	2664	Theoretical - No Known Name		Gb	0 2 5 6 8	7	D			
C C# D E F# G# .	6	1 1# 2 3 4# 5# .	111010101000	3752	Theoretical - No Known Name		C	0 1 2 4 6 8	1	G#			
C D E F# Bb B .	6	1 2 3 4# 7b 7 .	101010100011	2723	Theoretical - No Known Name		Bb	0 2 4 6 10 11	3	F#			
C D E Ab A Bb .	6	1 2 3 6b 6 7b  .	101010001110	2702	Theoretical - No Known Name		Ab	0 2 4 8 9 10	5	E			
C Db Eb F G Cb .	6	1 2b 3b 4 5 8b .	110101010001	3409	Theoretical - No Known Name		Cb	0 1 3 5 7 11	8	G			
C C# D E G# .	5	1 1# 2 3 5# .	111010001000	3720	Theoretical - No Known Name		C	0 1 2 4 8	1	G#			
C D F# Bb B .	5	1 2 4# 7b 7 .	101000100011	2595	Theoretical - No Known Name		Bb	0 2 6 10 11	3	F#			
C D E G# .	4	1 2 3 5# .	101010001000	2696	Theoretical - No Known Name		C	0 2 4 8	1	G#			
C D F# Bb .	4	1 2 4# 7b .	101000100010	2594	Theoretical - No Known Name		Bb	0 2 6 10	3	F#			
C E Ab Bb .	4	1 3 6b 7b .	100010001010	2186	Theoretical - No Known Name		Ab	0 4 8 10 	5	E			
C D E F# G# .	5	1 2 3 4# 5# .	101010101000	2728	Theoretical - No Known Name		C	0 2 4 6 8	1	G#			
C D E F# Bb .	5	1 2 3 4# 7b .	101010100010	2722	Theoretical - No Known Name		Bb	0 2 4 6 10	3	F#			
C D E Ab Bb .	5	1 2 3 6b 7b .	101010001010	2698	Theoretical - No Known Name		Ab	0 2 4 8 10	5	E			
C D Gb Ab Bb  .	5	1 2 5b 6b 7b  .	101000101010	2602	Theoretical - No Known Name		Gb	0 2 6 8 10	7	D			
C C# D E G# B .	6	1 1# 2 3  5# 7 .	111010001001	3721	Theoretical - No Known Name		C	0 1 2 4 8 11	1	G#			
C D F# A Bb B .	6	1 2 4# 6 7b 7 .	101000100111	2599	Theoretical - No Known Name		Bb	0 2 6 9 10 11	3	F#			
C Db D Eb F A .	6	1 2b 2 3b 4 6 .	111101000100	3908	Theoretical - No Known Name		Db	0 1 2 3 5 9	6	A			
C Db Eb G Bb Cb .	6	1 2b 3b 5 7b 8b .	110100010011	3347	Theoretical - No Known Name		Cb	0 1 3 7 10 11	8	G			
C D E G# B .	5	1 2 3 5# 7 .	101010001001	2697	Theoretical - No Known Name		C	0 2 4 8 11	1	G#			
C D F# A Bb .	5	1 2 4# 6 7b .	101000100110	2598	Theoretical - No Known Name		Bb	0 2 6 9 10	3	F#			
C E G Ab Bb .	5	1 3 5 6b 7b .	100010011010	2202	Theoretical - No Known Name	Chord C(b13)	Ab	0 4 7 8 10	5	E			
C D E F# G# B .	6	1 2 3 4# 5# 7 .	101010101001	2729	Eskimo Hexatonic 2 (North America)		C	0 2 4 6 8 11	1	G#			
C D E F# A Bb .	6	1 2 3 4# 6 7b .	101010100110	2726	Prometheus F# and Bb) in 12edo)		Bb	0 2 4 6 9 10	3	F#	Scriabin	http://209.85.173.104/search?q=cache:GkUik1u6d98J:www.martineauarts.com/Scriabin.html+Scriabin+scale&hl=en&ct=clnk&cd=4	Prometheus
C D E G Ab Bb .	6	1 2 3 5 6b 7b .	101010011010	2714	Theoretical - No Known Name		Ab	0 2 4 7 8 10	5	E			
C D F Gb Ab Bb .	6	1 2 4 5b 6b 7b .	101001101010	2666	Theoretical - No Known Name		Gb	0 2 5 6 8 10	7	D			
C C# D F# G# A B .	7	1 1# 2 4# 5# 6 7 .	111000101101	3629	Theoretical - No Known Name		C	0 1 2 6 8 9 11	1	G#			
C D Eb E F A B .	7	1 2 3b 3 4 6 7 .	101111000101	3013	Theoretical - No Known Name		Eb	0 2 3 4 5 9 11	4	B			
C Db D Eb G A Bb .	7	1 2b 2 3b 5 6 7b .	111100010110	3862	Theoretical - No Known Name		Db	0 1 2 3 7 9 10	6	A			
C Db F G Ab Bb Cb .	6	1 2b 4 5 6b 7b 8b .	110001011011	3163	Theoretical - No Known Name		Cb	0 1 5 7 8 10 11	8	G			
C Db Eb Fb F Gb Bb .	7	1 2b 3b 4b 4 5b 7b .	110111100010	3554	Theoretical - No Known Name		Fb	0 1 3 4 5 6 10	9	C			
C C# D F# G# A .	6	1 1# 2 4# 5# 6 .	111000101100	3628	Theoretical - No Known Name		C	0 1 2 6 8 9	1	G#			
C Eb E F A B .	6	1 3b 3 4 6 7 .	100111000101	2501	Theoretical - No Known Name		Eb	0 3 4 5 9 11	4	B			
C D Eb Gb G Ab .	6	1 2 3 b 5b 5 6b .	101100111000	2872	Raga Syamalam (India)		Gb	0 2 3 6 7 8	7	D			
C C# D G# A .	5	1 1# 2 5# 6 .	111000001100	3596	Raga Putrika (India)		C	0 1 2 8 9	1	G#			
C Eb E F B .	5	1 3b 3 4 7 .	100111000001	2497	Theoretical - No Known Name		Eb	0 3 4 5 11	4	B			
C D F# G# A .	5	1 2 4# 5# 6 .	101000101100	2604	Theoretical - No Known Name		C	0 2 6 8 9	1	G#			
C E F# G Bb .	5	1 4 5# 6 7b .	100010110010	2226	Theoretical - No Known Name		Bb	0 4 6 7 10	3	F#			
C C# D G# A B .	6	1 1# 2 5# 6 7 .	111000001101	3597	Theoretical - No Known Name		C	0 1 2 8 9 11	1	G#			
C D Eb E F B .	6	1 2 3b 3 4 7 .	101111000001	3009	Theoretical - No Known Name		Eb	0 2 3 4 5 11	4	B			
C Db Eb Fb F Gb .	6	1 2b 3b 4b 4 5b .	110111100000	3552	Theoretical - No Known Name		Fb	0 1 3 4 5 6	9	C			
C D Eb F B .	5	1 2 3b 4 7 .	101101000001	2881	Theoretical - No Known Name		Eb	0 2 3 5 11	4	B			
C Db A Bb .	4	1 2b 6 7b .	110000000110	3078	Theoretical - No Known Name		Db	0 1 9 10	6	A			
C Db Eb Fb Gb .	5	1 2b 3b 4b 5b .	110110100000	3488	Theoretical - No Known Name		Fb	0 1 3 4 6	9	C			
C D F# G# A B .	6	1 2 4# 5# 6 7 .	101000101101	2605	Theoretical - No Known Name		C	0 2 6 8 9 11	1	G#			
C E F# G A Bb .	6	1 3 4# 5 6 7b .	100010110110	2230	Raga Vutari (India)		Bb	0 4 6 7 9 10	3	F#			
C Db Eb G A Bb .	6	1 2b 3b 5 6 7b .	110100010110	3350	Raga Salagavarali (India)		Db	0 1 3 7 9 10	6	A			
C D Eb F Gb Ab .	6	1 2 3b 4 5b 6b .	101101101000	2920	Theoretical - No Known Name		Gb	0 2 3 5 6 8	7	D			
C Db Eb Fb Gb Bb .	6	1 2b 3b 4b 5b 7b .	110110100010	3490	Theoretical - No Known Name		Fb	0 1 3 4 6 10	9	C			
C C# D E F# G# A .	7	1 1# 2 3 4# 5# 6 .	111010101100	3756	Neapolitan Minor Mode (as 10/48910/11 in 12edo)		C	0 1 2 4 6 8 9	1	G#			
C D E F Ab A Bb .	7	1 2 3 4 6b 6 7b .	101011001110	2766	Theoretical - No Known Name		Ab	0 2 4 5 8 9 10	5	E			
C D Eb Gb G Ab Bb .	7	1 2 3b 5b 5 6b 7b .	101100111010	2874	Hungarian Gypsy (allb)	Mela Sanmukhapriya (India)	Gb	0 2 3 6 7 8 10	7	D			
C Eb E F G B .	6	1 3b 3 4 5 7 .	100111010001	2513	Theoretical - No Known Name		Eb	0 3 4 5 7 11	4	B			
C E F Ab A Bb  .	6	1 3 4 6b 6 7b .	100011001110	2254	Theoretical - No Known Name		Ab	0 4 5 8 9 10	5	E			
C Db Eb G Ab Cb .	6	1 2b 3b 5 6b 8b .	110100011001	3353	Theoretical - No Known Name		Cb	0 1 3 7 8 11	8	G			
C D E G# A .	5	1 2 3 5# 6 .	101010001100	2700	Theoretical - No Known Name		C	0 2 4 8 9	1	G#			
C D F# G Bb .	5	1 2 4# 5 7b .	101000110010	2610	Theoretical - No Known Name		Bb	0 2 6 7 10	3	F#			
C Eb F G B .	5	1 3b 4 5 7 .	100101010001	2385	Raga Nata,  Madhuranjani (India)		Eb	0 3 5 7 11	4	B			
C E F Ab Bb .	5	1 3 4 6b 7b .	100011001010	2250	Theoretical - No Known Name		Ab	0 4 6 8 10	5	E			
C D E F# G# A .	6	1 2 3 4# 5# 6 .	101010101100	2732	Eskimo Hexatonic 2		C	0 2 4 6 8 9	1	G#			
C D E F# G Bb .	6	1 2 3 4# 5 7b .	101010110010	2738	Theoretical - No Known Name		Bb	0 2 4 6 7 10	3	F#			
C Eb F G A B .	6	1 3b 4 5 6 7 .	100101010101	2389	Theoretical - No Known Name		Eb	0 3 5 7 9 11	4	B			
C D E F Ab Bb .	6	1 2 3 4 6b 7b .	101011001010	2762	Theoretical - No Known Name		Ab	0 2 4 5 8 10	5	E			
C D Eb Gb Ab Bb .	6	1 2 3b 5b 6b 7b .	101100101010	2858	Takemitsu Tree Line Mode 2 4b¢s		Gb	0 2 3 6 8 10	7	D			
C C# D E G# A B .	7	1 1# 2 3  5# 6 7 .	111010001101	3725	Theoretical - No Known Name		C	0 1 2 4 8 9 11	1	G#			
C D F# G A  Bb B .	7	 1 2 4# 5 6 7b 7 .	101000110111	2615	Theoretical - No Known Name		Bb	0 2 6 7 9 10 11	3	F#			
C D Eb E F G B .	7	1 2 3b 3 4 5 7 .	101111010001	3025	Theoretical - No Known Name		Eb	0 2 3 4 5 7 11	4	B			
C E F G Ab A Bb .	7	1 3 4 5 6b 6 7b .	100011011110	2270	Theoretical - No Known Name		Ab	0 4 5 7 8 9 10	5	E			
C Db Eb G Ab Bb Cb .	7	1 2b 3b 5 6b 7b 8b .	110100011011	3355	Theoretical - No Known Name		Cb	0 1 3 7 8 10 11	8	G			
C Db Eb Fb F Gb Ab .	7	1 2b 3b 4b 4 5b 6b  .	110111101000	3560	Theoretical - No Known Name		Fb	0 1 3 4 5 6 8	9	C			
C D E G# A B .	6	1 2 3 5# 6 7 .	101010001101	2701	Theoretical - No Known Name		C	0 2 4 8 9 11	1	G#			
C D F# G A Bb .	6	1 2 4# 5 6 7b .	101000110110	2614	Raga Sarasvati (India)		Bb	0 2 6 7 9 10	3	F#			
C D Eb F G B .	6	1 2 3b 4 5 7 .	101101010001	2897	Raga Sindhura Kafi (India)		Eb	0 2 3 5 7 11	4	B			
C E F G Ab Bb .	6	1 3 4 5 6b 7b .	100011011010	2266	Raga Kamalamanohari (India)		Ab	0 4 5 7 8 10	5	E			
C Db Eb Fb Gb Ab .	6	1 2b 3b 4b 5b 6b .	110110101000	3496	Theoretical - No Known Name		Fb	0 1 3 4 6 8	9	C			
C D E F# G# A B .	7	1 2 3 4# 5# 6 7 .	101010101101	2733	Lydian Augmented, Hindi #IV & #V		C	0 2 4 6 8 9 11	1	G#			
C D E F# G A Bb .	7	1 2 3 4# 5 6 7b .	101010110110	2742	Lydian bVIIth, Overtone,  Hindi #IV & bVII	Mela Vacaspati (India) Raga Bhusavati (India) Lydian Mixolydian. Bartok Scale, Lydian Dominant	Bb	0 2 4 6 7 9 10	3	F#	Bartok,		
C D Eb F G A B .	7	1 2 3b 4 5 6 7 .	101101010101	2901	Minor Melodic	Jazz Minor	Eb	0 2 3 5 7 9 11	4	B			
C D E F G Ab Bb .	7	1 2 3 4 5 6b 7b .	101011011010	2778	Major Minor, Hindu bVI & bVII	Mela Carukesi (India) Raga Tarangini (India)	Ab	0 2 4 5 7 8 10	5	E			
C Db Eb F G A Bb .	7	1 2b 3b 4 5 6 7b .	110101010110	3414	Jazz Minor Inverse. Javanese,  Dorian bII & HIndi		Db	0 1 3 5 7 9 10	6	A			
C D Eb F Gb Ab Bb .	7	1 2 3b 4 5b 6b 7b .	101101101010	2922	Minor Locrian, Hindi 3 flats and bV		Gb	0 2 3 5 6 8 10	7	D			
C Db Eb Fb Gb Ab Bb .	7	1 2b 3b 4b 5b 6b 7b .	110110101010	3498	Lydian Augmented or Hindi 5 flats & bIV 	Super Locrian 6 flats	Fb	0 1 3 4 6 8 10 	9	C	George Russell	http://www.lydianchromaticconcept.com/main.html	
C C# E F# G G# A B .	8	1 1# 3 4# 5 5# 6 7 .	110010111101	3261	Theoretical - No Known Name		C	0 1 4 6 7 8 9 11	1	G#			
C C# D E F F# A B .	8	1 1# 2 3 4 4# 6 7 .	111011100101	3813	Theoretical - No Known Name		F	0 1 2 4 5 6 9 11	2	C#			
C D Eb E G A Bb B .	8	1 2 3b 3 5 6 7b 7 .	101110010111	2967	Theoretical - No Known Name		Eb	0 2 3 4 7 9 10 11	4	B			
C D Eb E F G Ab A .	8	1 2 3b 3 4 5 6b 6 .	101111011100	3036	Theoretical - No Known Name		Ab	0 2 3 4 5 7 8 9	5	E			
C Db D F G Ab A Bb .	8	1 1# 2 4 5 5# 6 7b .	111001011110	3678	Theoretical - No Known Name		Db	0 1 2 5 7 8 9 10	6	A			
C Db D Eb F Gb G Bb .	8	1 2b 2 3b 4 5b 5 7b .	111101110010	3954	Theoretical - No Known Name		Gb	0 1 2 3 5 6 7 10	7	D			
C Db Eb Fb F Ab Bb Cb .	8	1 2b 3b 4b 4 6b 7b 8b .	110111001011	3531	Theoretical - No Known Name		Fb	0 1 3 4 5 8 10 11	9	C			
C C# D F# G G# B .	7	1 1# 2 4# 5 5# 7 .	111000111001	3641	Mela Jhalavarali (India)		C	0 1 2 6 7 8 11	1	G#			
C D Eb E G Ab A .	7	1 2 3b 3 5 6b 6 .	101110011100	2972	Chromatic Hypodorian		Ab	0 2 3 4 7 8 9	5	E			
C C# F F# G G# B .	7	1 1# 4 4# 5 5# 7 .	110001111001	3193	Theoretical - No Known Name		C	0 1 5 6 7 8 11	1	G#			
C Db D G Ab A .	6	1 2b 2 5 6b 6 .	111000011100	3612	Theoretical - No Known Name		Db	0 1 2 7 8 9	6	A			
C C# F F# G G# .	6	1 1# 4 4# 5 5# .	110001111000	3192	Theoretical - No Known Name		C	0 1 5 6 7 8	1	G#			
C F# G G# A .	5	1 4# 5 5# 6 .	100000111100	2108	Theoretical - No Known Name		C	0 6 7 8 9	1	G#			
C C# E F F# .	5	1 1# 3 4 4#  .	110011100000	3296	Theoretical - No Known Name		F	0 1 4 5 6	2	F#			
C G G# B .	4	 1 5 5# 7  .	100000011001	2073	Theoretical - No Known Name		C	0 7 8 11	1	G#			
C F# G G# B .	5	1 4# 5 5# 7 .	100000111001	2105	Theoretical - No Known Name		C	0 6 7 8 11	1	G#			
C Db G Ab A .	5	1 2b 5 6b 6 .	110000011100	3100	Theoretical - No Known Name		Db	0 1 7 8 9	6	A			
C C# F F# A B .	6	1 1# 4 4# 6 7 .	110001100101	3173	Theoretical - No Known Name		F	0 1 5 6 9 11	2	C#			
C D Eb E Ab A .	6	1 2 3b 3 6b 6 .	101110001100	2956	Theoretical - No Known Name		Ab	0 2 3 4 8 9	5	E			
C C# F F# A .	5	1 1# 4 4# 6 .	110001100100	3172	Theoretical - No Known Name		F	0 1 5 6 9	2	C#			
C Eb E Ab A .	5	1 3b 3 6b 6 .	100110001100	2444	Theoretical - No Known Name		Ab	0 3 4 8 9	5	E			
C E G G# .	4	1 3 5 5# .	100010011000	2200	Theoretical - No Known Name		C	0 4 7 8	1	G#			
C C# F A .	4	1 1# 4 6 .	110001000100	3140	Theoretical - No Known Name		F	0 1 5 9	2	C#			
C Eb E Ab .	4	1 3b 3 6b .	100110001000	2440	Theoretical - No Known Name		Ab	0 3 4 8	5	E			
C E F# G G# .	5	1 3 4# 5 5#  .	100010111000	2232	Theoretical - No Known Name		C	0 4 6 7 8 	1	G#			
C C# F A B .	5	1 1# 4 6 7 .	110001000101	3141	Theoretical - No Known Name		F	0 1 5 9 11	2	C#			
C D Eb E Ab .	5	1 2 3b 3 6b .	101110001000	2952	Theoretical - No Known Name		Ab	0 2 3 4 8	5	E			
C C# E F F# A .	6	1 2b 3 4 5b 6 .	110011100100	3300	Theoretical - No Known Name		F	0 1 4 5 6 9	2	C#			
C Eb E G Ab A .	6	1 3b 3 5 6b 6 .	100110011100	2460	Theoretical - No Known Name		Ab	0 3 4 7 8 9	5	E			
C E G G# B .	5	1 3 5 5# 7 .	100010011001	2201	Theoretical - No Known Name		C	0 4 7 8 11	1	G#			
C Eb E G Ab .	5	1 3b 3 5 6b .	100110011000	2456	Theoretical - No Known Name		Ab	0 3 4 7 8	5	E			
C Db F Ab A .	5	1 2b 4 6b 6 .	110001001100	3148	Theoretical - No Known Name		Db	0 1 5 8 9	6	A			
C E F# G G# B .	6	1 3 4# 5 5# 7 .	100010111001	2233	Theoretical - No Known Name		C	0 4 6 7 8 11	1	G#			
C D Eb E G Ab .	6	1 2 3b 3 5 6b .	101110011000	2968	Theoretical - No Known Name		Ab	0 2 3 4 7 8	5	E			
C Db F G Ab A .	6	1 2b 4 5 6b 6 .	110001011100	3164	Raga Kalakanthi (India)		Db	0 1 5 7 8 9	6	A			
C C# D E F F# B .	7	1 1# 2 3 4 4# 7 .	111011100001	3809	Theoretical - No Known Name		F	0 1 2 4 5 6 11	2	C#			
C D Eb E A Bb B .	7	1 2 3b 3 6 7b 7 .	101110000111	2951	Theoretical - No Known Name		Eb	0 2 3 4 9 10 11	4	B			
C Db D G Ab A Bb .	7	1 2b 2 5 6b 6 7b .	111000011110	3614	Theoretical - No Known Name		Db	0 1 2 7 8 9 10	6	A			
C Db D Eb F Gb G .	7	1 2b 2 3b 4 5b 5 .	111101110000	3952	Theoretical - No Known Name		Gb	0 1 2 3 5 6 7	7	D			
C Db Eb Fb F Bb Cb .	7	1 2b 3b 4b 4 7b 8b .	110111000011	3523	Theoretical - No Known Name		Fb	0 1 3 4 5 10 11	9	C			
C C# D F F# B .	6	1 1# 2 4 4# 7 .	111001100001	3681	Theoretical - No Known Name		F	0 1 2 5 6 11	2	C#			
C Db D Eb Gb .	5	1 2b 2 3b 5b .	111100100000	3872	Blues Pentacluster		Gb	0 1 2 3 6	7	D			
C C# D F F# .	5	1 1# 2 4 4# .	111001100000	3680	Oriental Pentacluster		F	0 1 2 5 6	7	C#			
C G G# A .	4	1 5 5# 6 .	100000011100	2076	Theoretical - No Known Name		C	0 7 8 9	1	G#			
C Eb Bb B .	4	1 3b 7b 7 .	100100000011	2307	Theoretical - No Known Name		Eb	0 3 10 11	4	B			
C Eb E Bb B .	5	1 3b 3 7b 7 .	100110000011	2435	Theoretical - No Known Name		Eb	0 3 4 10 11	4	B			
C Eb A Bb B .	5	1 3b 6 b7 7 .	100100000111	2311	Theoretical - No Known Name		Eb	0 3 9 10 11	4	B			
C Eb E A Bb B .	6	1 3b 3 6 7b 7 .	100110000111	2439	Theoretical - No Known Name		Eb	0 3 4 9 10 11	4	B			
C C# D E F F# .	6	1 1# 2 3 4 4# .	111011100000	3808	Theoretical - No Known Name		F	0 1 2 4 5 6	2	C#			
C D Eb E Bb B .	6	1 2 3b 3 7b 7 .	101110000011	2947	Theoretical - No Known Name		Eb	0 2 3 4 10 11	4	B			
C Db Eb Fb F Cb .	6	1 2b 3b 4b 4 8b .	110111000001	3521	Theoretical - No Known Name		Fb	0 1 3 4 5 11	9	C			
C G G# A  B .	5	1 5 5# 6 7 .	100000011101	2077	Theoretical - No Known Name		C	0 7 8 9 11	1	G#			
C C# D E F .	5	1 1# 2 3 4 .	111011000000	3776	Theoretical - No Known Name		F	0 1 2 4 5	2	C#			
C D Eb Bb B .	5	1 2 3b 7b 7 .	101100000011	2819	Theoretical - No Known Name		Eb	0 2 3 10 11	4	B			
C Db Eb Fb Cb .	5	1 2b 3b 4b 8b .	110110000001	3457	Theoretical - No Known Name		Fb	0 1 3 4 11	9	C			
C F# G G# A B .	6	1 4# 5 5# 6 7 .	100000111101	2109	Theoretical - No Known Name		C	0 6 7 8 9 11	1	G#			
C C# D E F B .	6	1 1# 2 3 4 7 .	111011000001	3777	Theoretical - No Known Name		F	0 1 2 4 5 11	2	C#			
C D Eb A Bb B .	6	1 2 3b 6 7b 7 .	101100000111	2823	Theoretical - No Known Name		Eb	0 2 3 9 10 11	4	B			
C Db G Ab A Bb .	6	1 2b 5 6b 6 7b .	110000011110	3102	Theoretical - No Known Name		Db	0 1 7 8 9 10	6	A			
C Db D Eb F Gb .	6	1 2b 2 3b 4 5b .	111101100000	3936	Theoretical - No Known Name		Gb	0 1 2 3 5 6	7	D			
C Db Eb Fb Bb Cb .	6	1 2b 3b 4b 7b 8b .	110110000011	3459	Theoretical - No Known Name		Fb	0 1 3 4 10 11	9	C			
C C# E F# G G# A .	7	1 1# 3 4# 5 5# 6 .	110010111100	3260	Mela Dhavalambari (India)		C	0 1 4 6 7 8 9	1	G#			
C C# D F F# A B .	7	1 1# 2 4 4# 6 7 .	111001100101	3685	Theoretical - No Known Name		F	0 1 2 5 6 9 11	2	C#			
C Eb E G A Bb B .	7	1 3b 3 5 6 7b 7 .	100110010111	2455	Theoretical - No Known Name		Eb	0 3 4 7 9 10 11	4	B			
C D Eb E F Ab A .	7	1 2 3b 3 4 6b 6 .	101111001100	3020	Theoretical - No Known Name		Ab	0 2 3 4 5 8 9	5	E			
C Db D Eb Gb G Bb .	7	1 2b 2 3b 5b 5 7b .	111100110010	3890	Theoretical - No Known Name		Gb	0 1 2 3 6 7 10	7	D			
C C# E G G# A .	6	1 1# 3 5 5# 6 .	110010011100	3228	Theoretical - No Known Name		C	0 1 4 7 8 9	1	G#			
C C# D F F# A .	6	1 1# 2 4 4# 6 .	111001100100	3684	Theoretical - No Known Name		F	0 1 2 5 6 9	2	C#			
C Eb E G Bb B .	6	1 3b 3 5 7b 7 .	100110010011	2451	Theoretical - No Known Name		Eb	0 3 4 7 10 11	4	B			
C E G G# A .	5	1 3 5 5# 6 .	100010011100	2204	Theoretical - No Known Name		C	0 4 7 8 9	1	G#			
C Eb G Bb B .	5	1 3b 5 7b 7 .	100100010011	2323	Theoretical - No Known Name		Eb	0 3 7 10 11	4	B			
C E F# G G# A .	6	1 3 4# 5 5# 6 .	100010111100	2236	Theoretical - No Known Name		C	0 4 6 7 8 9	1	G#			
C Eb G A Bb B .	6	1 3b 5 6 7b 7 .	100100010111	2327	Theoretical - No Known Name		Eb	0 3 7 9 10 11	4	B			
C D Eb E F Ab .	6	1 2 3b 3 4 6b .	101111001000	3016	Theoretical - No Known Name		Ab	0 2 3 4 5 8	5	E			
C C# E G G# A B .	7	1 1# 3 5 5# 6 7 .	110010011101	3229	Theoretical - No Known Name		C	0 1 4 7 8 9 11	1	G#			
C C# D E F F# A .	7	1 1# 2 3 4 4# 6 .	111011100100	3812	Theoretical - No Known Name		F	0 1 2 4 5 6 9	2	C#			
C D Eb E G Bb B .	7	1 2 3b 3 5 7b 7 .	101110010011	2963	Theoretical - No Known Name		Eb	0 2 3 4 7 10 11	4	B			
C Db D F Ab A Bb .	7	1 2b 2 4 6b 6 7b .	111001001110	3662	Theoretical - No Known Name		Db	0 1 2 5 8 9 10	6	A			
C Db Eb Fb F Ab Cb .	7	1 2b 3b 4b 4 6b 8b .	110111001001	3529	Theoretical - No Known Name		Fb	0 1 3 4 5 8 11	9	C			
C E G G# A B .	6	1 3 5 5# 6 7 .	100010011101	2205	Theoretical - No Known Name		C	0 4 7 8 9 11	1	G#			
C C# D E F A .	6	1 1# 2 3 4 6 .	111011000100	3780	Theoretical - No Known Name		F	0 1 2 4 5 9	2	C#			
C D Eb G Bb B .	6	1 2 3b 5 7b 7 .	101100010011	2835	Theoretical - No Known Name		Eb	0 2 3 7 10 11	4	B			
C Db F Ab A Bb .	6	1 2b 4 6b 6 7b .	110001001110	3150	Theoretical - No Known Name		Db	0 1 5 8 9 10	6	A			
C Db Eb Fb Ab Cb .	6	1 2b 3b 4b 6b 8b .	110110001001	3465	Theoretical - No Known Name		Fb	0 1 3 4 8 11	9	C			
C E F# G G# A B .	7	1 3 4# 5 5# 6 7 .	100010111101	2237	Theoretical - No Known Name		C	0 4 6 7 8 9 11	1	G#			
C C# D E F A B .	7	1 1# 2 3 4 6 7 .	111011000101	3781	Theoretical - No Known Name		F	0 1 2 4 5 9 11	2	C#			
C D Eb G A Bb B .	7	1 2 3b 5 6 7b 7 .	101100010111	2839	Theoretical - No Known Name		Eb	0 2 3 7 9 10 11	4	B			
C D Eb E F G Ab .	7	1 2 3b 3 4 5 6b .	101111011000	3032	Theoretical - No Known Name		Ab	0 2 3 4 5 7 8	5	E			
C Db F G Ab A Bb .	7	1 2b 4 5 6b 6 7b .	110001011110	3166	Theoretical - No Known Name		Db	0 1 5 7 8 9 10	6	A			
C Db D Eb F Gb Bb .	7	1 2b 2 3b 4 5b 7b .	111101100010	3938	Theoretical - No Known Name		Gb	0 1 2 3 5 6 10	7	D			
C Db Eb Fb Ab Bb Cb .	7	1 2b 3b 4b 6b 7b 8b .	110110001011	3467	Theoretical - No Known Name		Fb	0 1 3 4 8 10 11	9	C			
C C# D E F# G G# B .	8	1 1# 2 3 4# 5 5# 7 .	111010111001	3769	Theoretical - No Known Name		C	0 1 2 4 6 7 8 11	1	G#			
C D E F F# A Bb B .	8	1 2 3 4 4# 6 7b 7 .	101011100111	2791	Theoretical - No Known Name		Bb	0 2 4 5 6 9 10 11	3	F#			
C D Eb E G Ab A Bb .	8	1 2 2# 3 5 5# 6 7b .	101110011110	2974	Theoretical - No Known Name		Ab	0 2 3 4 7 8 9 10	5	E			
C Db D Eb F G Ab A .	8	1 2b 2 3b 4 5 6b 6 .	111101011100	3932	Theoretical - No Known Name		Db	0 1 2 3 5 7 8 9	6	A			
C Db Eb F Gb G Bb Cb .	8	1 2b 3b 4 5b 5 7b 8b .	110101110011	3443	Theoretical - No Known Name		Cb	0 1 3 5 6 7 10 11	8	G			
C C# E F F# G B .	7	1 1# 3 4 4# 5 7 .	110011110001	3313	Theoretical - No Known Name		F	0 1 4 5 6 7 11	2	C#			
C E F F# A Bb B .	7	1 3 4 4# 6 7b 7 .	100011100111	2279	Theoretical - No Known Name		Bb	0 4 5 6 9 10 11	3	F#			
C Db D Eb G Ab A .	7	1 2b 2 3b 5 6b 6 .	111100011100	3868	Theoretical - No Known Name		Db	0 1 2 3 7 8 9	6	A			
C Db F Gb G Bb Cb .	7	1 2b 4 5b 5 7b 8b .	110001110011	3187	Theoretical - No Known Name		Cb	0 1 5 6 7 10 11	8	G			
C C# D F# G G# .	6	1 1# 2 4# 5 5# .	111000111000	3640	Messiaen Mode 5 (dupe of 11/2348910/5 in 12edo)		C	0 1 2 6 7 8	1	G#		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C C# F F# G B .	6	1 1# 4 4# 5 7 .	110001110001	3185	Messiaen Mode 5	respelling	F	0 1 5 6 7 11	2	C#		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C E F F# Bb B .	6	1 3 4 4# 7b 7 .	100011100011	2275	Messiaen Mode 5 Inverse?		Bb	0 4 5 6 10 11	3	F#		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
